#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;
##################################################;;;;;;;;;;;;;;x
# RYAN'S NEW CODE ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
ORGANISATION_NAME_OAS;Organization of American States;;;;;;;;;;;;;x;;
ORGANISATION_NAME_OAS_short;OAS;;;;;;;;;;;;;x;;
ORGANISATION_NAME_ARAB_LEAGUE;League of Arab States;;;;;;;;;;;;;x;;
ORGANISATION_NAME_ARAB_LEAGUE_short;Arab League;;;;;;;;;;;;;x;;
ORGANISATION_NAME_FRENCHUNION;French Union;;;;;;;;;;;;;x;;
ORGANISATION_NAME_FRENCHUNION_short;French Union;;;;;;;;;;;;;x;;
ORGANISATION_NAME_COMMONWEALTH;Commonwealth of Nations;;;;;;;;;;;;;x;;
ORGANISATION_NAME_COMMONWEALTH_short;The Commonwealth;;;;;;;;;;;;;x;;
ORGANISATION_NAME_UE;Benelux Union;;;;;;;;;;;;;x;;
ORGANISATION_NAME_UE_short;UE;;;;;;;;;;;;;x;;
##################################################;;;;;;;;;;;;;;x
# DECISION LOC ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
dec_war_games_title;Declare War Games;;;;;;;;;;;;;x;;
dec_war_games_desc;DESCRIPTION WILL GO HERE;;;;;;;;;;;;;x;;
increasing_air_base_title;Increase Airbase;;;;;;;;;;;;;x;;
increasing_air_base_desc;DESCRIPTION WILL GO HERE;;;;;;;;;;;;;x;;
new_air_base_title;Build an Airbase;;;;;;;;;;;;;x;;
new_air_base_desc;DESCRIPTION WILL GO HERE;;;;;;;;;;;;;x;;
##################################################;;;;;;;;;;;;;;x
# RELIGION LOC;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
atheism_religion;State Atheism;;;;;;;;;;;;;x;;
atheism_religion_desc;State Atheism;;;;;;;;;;;;;x;;
##################################################;;;;;;;;;;;;;;x
# ATTITUDE LOC;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
permanent_revolution;Permenant Revolution;;;;;;;;;;;;;x;;
permanent_revolution_desc;Permanent Revolution Description will go here;;;;;;;;;;;;;x;;
