#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x;;
##################################################;;;;;;;;;;;;;;x;;
# Country Modifiers ;;;;;;;;;;;;;;x;;
##################################################;;;;;;;;;;;;;;x;;
## IRQ ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## PER ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## KWT ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## SAU ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## USA ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## FRA ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## SOV ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## FRG ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## CHC ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
##################################################;;;;;;;;;;;;;;x;;
# Decisions ;;;;;;;;;;;;;;x;;
##################################################;;;;;;;;;;;;;;x;;
## IRQ ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;x;;;
## PER ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## SYR ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## KWT ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## SAU ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## USA ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## FRA ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## FRG ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## SOV ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
## CHC ##;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
;;;;;;;;;;;;;;x;;
##################################################;;;;;;;;;;;;;;x;;
# Events ;;;;;;;;;;;;;;x;;
##################################################;;;;;;;;;;;;;;x;;
## IRQ ##;;;;;;;;;;;;;;x;;
