#CODE;ENGLISH;FRENCH;GERMAN;POLSKI;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGESE;RUSSIAN;FINNISH;x
##################################################;;;;;;;;;;;;;;x
# Modifiers ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Global #;;;;;;;;;;;;;;x
conscripts_politician_son_inquiry;Inquiry Ordered for Politician's Son;;;;;;;;;;;;;x
conscripts_champagne_unit_disbanded;Champagne Unit Disbanded;;;;;;;;;;;;;x
conscripts_research_setback;Setback on Conscript Research;;;;;;;;;;;;;x
conscripts_peaceful_demonstration;Peaceful Protests Against Draft;;;;;;;;;;;;;x
conscripts_widespread_demonstrations;Widespread Protests Against Draft;;;;;;;;;;;;;x
conscripts_poor_condition;Condition of Conscripts is Poor;;;;;;;;;;;;;x
conscripts_callup_falls_short;Draft Fails to Meet Quota;;;;;;;;;;;;;x
conscripts_callup_felons;Draft Expanded to Felons;;;;;;;;;;;;;x
conscripts_callup_extended;Service Tours Extended;;;;;;;;;;;;;x
conscripts_labour_experience;Employers Praise Draftee Veterans;;;;;;;;;;;;;x
conscripts_callup_above_target_military;Surplus Draftees Expand Military;;;;;;;;;;;;;x
conscripts_callup_above_target_returned;Surplus Draftees Return Home;;;;;;;;;;;;;x
conscripts_callup_above_target_construction;Draftees Build the Nation;;;;;;;;;;;;;x
draft_dodgers_minor;Harsh Penalties for Draft Dodgers;;;;;;;;;;;;;x
draft_dodgers_moderate;Moderation for Draft Dodgers;;;;;;;;;;;;;x
conscription_memoirs_published;Draftee Memoirs Published;;;;;;;;;;;;;x
conscription_memoirs_distributed;Draftee Memoirs Distributed;;;;;;;;;;;;;x
conscription_lampooning_film;Film Lampoons Draft;;;;;;;;;;;;;x
conscription_critical_editorial;Editorial Criticises Draft;;;;;;;;;;;;;x
conscription_religious_opposition;Church Leaders Protest Draft;;;;;;;;;;;;;x
conscription_union_strike;Union Strikes to Protest Draft;;;;;;;;;;;;;x
emasculated_military;Strict Regulations for Military;;;;;;;;;;;;;x
ambitious_military;Military Given Latitude;;;;;;;;;;;;;x
mod_draft_delay_1;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_2;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_3;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_4;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_5;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_6;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_7;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_8;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_9;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_10;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_11;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_12;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_13;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_14;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_15;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_16;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_17;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_18;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_19;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_20;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_21;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_22;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_23;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_24;Military Service Event Delay;;;;;;;;;;;;;x
mod_draft_delay_general;Military Service Event Delay;;;;;;;;;;;;;x
;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Decisions ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Global #;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Events ;;;;;;;;;;;;;;x
##################################################;;;;;;;;;;;;;;x
# Global #;;;;;;;;;;;;;x;
EVTNAME50200;Politician's Son Dodges Draft;;;;;;;;;;;;;x
EVTDESC50200;News agencies are reporting on rumors that the son of one of our closest political allies was drafted but has since disappeared from the mandatory reporting list. We need to get out in front of this quickly and have three realistic options at the moment – we let our political ally take the fall and be done with it, we order a government-wide inquiry to get to the bottom of this, or we put forth a plausible counter-story and hope for the best.;;;;;;;;;;;;;x
EVTOPTA50200;Let im take the fall;;;;;;;;;;;;;x
EVTOPTB50200;Order a government-wide inquiry;;;;;;;;;;;;;x
EVTOPTC50200;Organize a cover-up;;;;;;;;;;;;;x
EVTNAME50201;Champagne Units Criticised;;;;;;;;;;;;;x
EVTDESC50201;In the news today, various media outlets reported on the state of the $COUNTRY_ADJ$ draft, calling it 'separate and unequal' and noting several 'champagne units' across $COUNTRY$ allow the 'connected elite' to avoid any real dangers of the war while the less-connected risk their lives. How shall we respond to this?;;;;;;;;;;;;;x
EVTOPTA50201;Disband the champagne units;;;;;;;;;;;;;x
EVTOPTB50201;There's nothing wrong with that;;;;;;;;;;;;;x
EVTOPTC50201;Expand the draft so no unit is excluded;;;;;;;;;;;;;x
EVTNAME50202;Draft Interferes with Research;;;;;;;;;;;;;x
EVTDESC50202;Today in the news, various media outlets reported on the impact of the $COUNTRY_ADJ$ draft on the private sector. Of particular note was a report detailing how the latest round of call-ups has set back prominent research.;;;;;;;;;;;;;x
EVTOPTA50202;This is unfortunate;;;;;;;;;;;;;x
EVTNAME50203;Draft Interferes with Research;;;;;;;;;;;;;x
EVTDESC50203;Today in the news, various media outlets reported on the impact of the $COUNTRY_ADJ$ draft on the private sector. Of particular note was a report detailing how the latest round of call-ups has taken a toll on industrial output.;;;;;;;;;;;;;x
EVTOPTA50203;This is unfortunate;;;;;;;;;;;;;x
EVTNAME50204;Peaceful Draft Protests;;;;;;;;;;;;;x
EVTDESC50204;A few press outlets noted a lone protest rally that was held today. It was a small, peaceful demonstration against the draft, but it is the first sign that some public sentiment is not in favor of our policy.;;;;;;;;;;;;;x
EVTOPTA50204;That is unfortunate;;;;;;;;;;;;;x
EVTNAME50205;Series of Peaceful Draft Protests;;;;;;;;;;;;;x
EVTDESC50205;All major press outlets reported on a series of well-orchestrated, peaceful demonstrations against the draft. These anti-draft protests were staged across the nation, including a highly-publicized rally held in our nation's capital.;;;;;;;;;;;;;x
EVTOPTA50205;Send in the riot police;;;;;;;;;;;;;x
EVTOPTB50205;The protests will burn themselves out in time;;;;;;;;;;;;;x
EVTNAME50206;Condition of Conscripts is Poor;;;;;;;;;;;;;x
EVTDESC50206;A report issued by top brass details a high level concern by our training officers regarding the poor physical health of those reporting for the draft. The overall physical quality of draftees is so poor that our generals are concerned about the physical competency of draftees and question their ability to effectively carry out missions in the field.;;;;;;;;;;;;;x
EVTOPTA50206;That is most unfortunate;;;;;;;;;;;;;x
EVTNAME50207;Draft Fails to Meet Quota;;;;;;;;;;;;;x
EVTDESC50207;Status briefings with top military officials have revealed a disturbing trend concerning our draft call-ups – each round of the draft results in numbers much lower than originally projected. Current conscriptions totals are significantly lower than planned. $MONARCHTITLE$, we can either temper our expectations accordingly, or perhaps remedy the matter by extending the draft to felons or extending the enlistments of current draftees.;;;;;;;;;;;;;x
EVTOPTA50207;Continue as we have;;;;;;;;;;;;;x
EVTOPTB50207;Accept felons for this round;;;;;;;;;;;;;x
EVTOPTC50207;Extend enlistment of current draftees;;;;;;;;;;;;;x
EVTNAME50208;Employers Praise Draftee Veterans;;;;;;;;;;;;;x
EVTDESC50208;An editorial piece regarding former draftees re-entering the workplace was released today. $MONARCHTITLE$, it was an unexpected windfall of good press! The overwhelming opinion of nearly all employers is that the draftees returning from service are among the best employees they have. Among other things, employers praised the work skills, life skills, and maturity of these veterans.;;;;;;;;;;;;;x
EVTOPTA50208;Great news for our policy!;;;;;;;;;;;;;x
EVTNAME50209;Draft Helps Unite Our Nation;;;;;;;;;;;;;x
EVTDESC50209;We have inspiring news! Today a top press outlet reported that the draft is responsible for a new wave of cooperation and acceptance among the $COUNTRY_ADJ$ people. This new trend was traced back to the draft and its ability to unite all walks of life in a common purpose.;;;;;;;;;;;;;x
EVTOPTA50209;The draft brings our people together;;;;;;;;;;;;;x
EVTNAME50210;Draft Turns Boys into Men;;;;;;;;;;;;;x
EVTDESC50210;We have received excellent press regarding an effect of the draft! Today, some prominent journals reported on the strong family values and work ethic of the former draftees that have returned from service. One report noted, 'The draft makes men out of boys.';;;;;;;;;;;;;x
EVTOPTA50210;This is great news!;;;;;;;;;;;;;x
EVTNAME50211;Draft Round Results in Surplus;;;;;;;;;;;;;x
